,id,currency,price_display,square_feet,address,cityname,state
0,5668626895,USD,790,101,,Washington,DC
1,5664597177,USD,425,106,814 Schutte Rd,Evansville,IN
2,5668626833,USD,1390,107,,Arlington,VA
3,5659918074,USD,925,116,1717 12th Avenue,Seattle,WA
4,5668626759,USD,880,125,,Arlington,VA
5,5667891676,USD,2475,130,350 West 50th St,Manhattan,NY
6,5668627426,USD,1800,132,2432 Penmar Avenue,Venice,CA
7,5668626687,USD,840,136,,Washington,DC
8,5668610290,USD,1495,138,333 Hyde St,San Francisco,CA
9,5668627023,USD,890,141,,Washington,DC
10,5668627099,USD,990,146,15th St SE Independence Avenue SE Washington DC,Washington,DC
11,5668626548,USD,840,150,,Washington,DC
12,5664598162,USD,1795,156,2326 N 6th Ave,Tucson,AZ
13,5668626900,USD,1090,178,,Washington,DC
14,5664571820,USD,1695,190,57 Taylor St,San Francisco,CA
16,5654898031,USD,1560,200,180 Moonlight Lake Drive,New Bern,NC
17,5664574876,USD,1000,200,,Spring,TX
18,5668633573,USD,950,200,545 Georgia St 717-723 Sutter St,Vallejo,CA
19,5668624220,USD,625,200,,Marietta,GA
20,5653564493,USD,600,200,,Charlotte,NC
21,5668622178,USD,544,200,501 Chapel Dr,Tallahassee,FL
22,5664567303,USD,525,200,,,
23,5664577209,USD,450,200,,Phoenix,AZ
24,5664574105,USD,750,215,,Riverview,FL
25,5668624126,USD,2000,219,,Lafayette,AL
26,5668624017,USD,1400,219,,San Francisco,CA
27,5668624367,USD,1095,219,,Glen Burnie,MD
28,5664570217,USD,915,219,,Littleton,CO
29,5664574791,USD,900,219,,Waldorf,MD
30,5664573949,USD,865,219,,Riverview,FL
31,5668619369,USD,750,219,,,
32,5664570058,USD,725,219,,Aurora,CO
33,5668624549,USD,650,219,,Manassas,VA
34,5664572906,USD,650,219,,Decatur,GA
35,5668624370,USD,645,219,,Tampa,FL
36,5668625590,USD,595,219,,Albuquerque,NM
37,5664573404,USD,750,220,,,
38,5668634310,USD,1195,223,6921 Roosevelt Way NE,Seattle,WA
39,5668640879,USD,1150,225,714 N 95th St,Seattle,WA
40,5668625234,USD,942,225,420 W Fullerton Parkway,Chicago,IL
41,5668639212,USD,1250,228,2037 Yale Avenue E,Seattle,WA
42,5659899323,USD,800,230,,Gastonia,NC
43,5664573954,USD,685,230,,Wimauma,FL
44,5668628531,USD,525,230,23 S Pauline Place,Memphis,TN
45,5668639708,USD,1095,231,1008 North 109th St,Seattle,WA
46,5668612110,USD,1695,232,925 Geary St,San Francisco,CA
47,5668626855,USD,990,239,13th St NW Monroe St NW Washington DC,Washington,DC
48,5668636830,USD,775,240,202 E Holly St,Bellingham,WA
49,5668629000,USD,1299,243,838 NE 66th St,Seattle,WA
50,5668620457,USD,705,245,3321 Eureka St,Anchorage,AK
51,5664571995,USD,1800,250,,Pacifica,CA
52,5653561496,USD,1600,250,,Marina Del Rey,CA
53,5668624072,USD,1500,250,22nd Ave,San Francisco,CA
54,5664579604,USD,1330,250,,Studio City,CA
55,5668623065,USD,1310,250,,Moorpark,CA
56,5664579928,USD,1300,250,,Torrance,CA
57,5664568684,USD,1295,250,,Sacramento,CA
58,5653562721,USD,1255,250,,Lake Balboa,CA
59,5664574541,USD,1250,250,,Seattle,WA
60,5648113719,USD,1250,250,,North Hollywood,CA
61,5664570234,USD,1200,250,,Denver,CO
62,5664571553,USD,1200,250,,Aurora,CO
63,5668620616,USD,1175,250,,Brentwood,CA
64,5664571823,USD,1155,250,2nd St,San Rafael,CA
65,5664573458,USD,1150,250,,North Potomac,MD
66,5668624849,USD,1145,250,,Andover,MA
67,5668624024,USD,1135,250,,Oakland,CA
68,5668623989,USD,1115,250,17th St,San Pablo,CA
69,5664596354,USD,1095,250,1409 W Diversey Parkway,Chicago,IL
70,5668624552,USD,1090,250,,Alexandria,VA
71,5664577920,USD,1075,250,,Chicago,IL
72,5668623116,USD,1050,250,,Thousand Oaks,CA
73,5668623643,USD,1050,250,,Denver,CO
74,5664574855,USD,1045,250,,Burke,VA
75,5668624504,USD,1025,250,100th Avenue NE,Bellevue,WA
76,5664574093,USD,1025,250,8th Ave North,,
77,5664568674,USD,1005,250,,Wilton,CA
78,5668623133,USD,1000,250,,Woodland Hills,CA
79,5668624299,USD,1000,250,,Miami,FL
80,5668624350,USD,1000,250,,Hyattsville,MD
81,5664571557,USD,1000,250,,Westminster,CO
82,5664570140,USD,1000,250,,Aurora,CO
83,5664571542,USD,1000,250,,Arvada,CO
84,5659898514,USD,1000,250,,Seal Beach,CA
85,5668624441,USD,975,250,,San Marcos,CA
